name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
Fang Tonghua & family,Fang,fang-tonghua,no-pic,24.177,54,pharmaceuticals,Healthcare,M,China,,1488028803344,,Heilongjiang,1557.431,1343,1343,
Fang Wei,Fang,fang-wei,no-pic,-8.654,43,steel,Manufacturing,M,China,,1488028803343,,Beijing,2193.387,957,957,
Farhad Moshiri,Moshiri,farhad-moshiri,farhad-moshiri,5.769,61,diversified,Diversified,M,United Kingdom,,1488028803343,,,2368.807,895,895,
Farkhad Akhmedov,Akhmedov,farkhad-akhmedov,farkhad-akhmedov,0,61,natural gas,Energy,M,Russia,,1488028803344,,,1292,1567,1567,
Farris Wilks,Wilks,farris-wilks,farris-wilks,-1.709,65,natural gas,Energy,M,United States,,1488028803344,TX,Texas,1350.177,1510,1510,
Faruk Eczacibasi,Eczacibasi,faruk-eczacibasi,faruk-eczacibasi,-10.339,62,"pharmaceuticals, diversified",Diversified,M,Turkey,,1488028803344,,,1565.526,1336,1336,
Fatma Yazici,Yazici,fatma-yazici,no-pic-female,0,43,diversified,Diversified,F,Turkey,,1488028803344,,,1062.184,1791,1791,
Fawzi Al-Kharafi,Al-Kharafi,fawzi-al-kharafi,no-pic,0.058,,diversified,Diversified,M,Kuwait,,1488028803344,,,1280.098,1585,1585,
Fayez Sarofim,Sarofim,fayez-sarofim,fayez-sarofim,-9.901,88,money management,Finance and Investments,M,United States,,1488028803344,TX,Texas,1548.75,1348,1348,
Feng Hailiang,Feng,feng-hailiang,feng-hailiang,-71.564,56,"copper, real estate",Metals & Mining,M,China,,1488028803343,,Zhejiang,2415.05,876,876,
Ferit Faik Sahenk,Sahenk,ferit-faik-sahenk,ferit-faik-sahenk,-7.169,52,"banking, media",Finance and Investments,M,Turkey,,1488028803343,,,2101.53,995,995,
Fernando Roberto Moreira Salles,Moreira Salles,fernando-roberto-moreira-salles,no-pic,-11.021,70,"banking, minerals",Diversified,M,Brazil,,1488028803343,,,3174.54,623,623,
Fernando Roig,Roig,fernando-roig,fernando-roig,0,69,supermarkets,Fashion & Retail,M,Spain,,1488028803344,,,1324.945,1541,1541,
Filaret Galchev,Galchev,filaret-galchev,filaret-galchev,0,53,construction materials,Construction & Engineering,M,Russia,,1488028803344,,,1294.356,1565,1565,
Filiz Sahenk,Sahenk,filiz-sahenk,filiz-sahenk,-6.614,50,"bank, media",Finance and Investments,F,Turkey,,1488028803343,,,1915.285,1108,1108,
Finn Rausing,Rausing,finn-rausing,no-pic,0,62,packaging,Food and Beverage,M,Sweden,,1488028803343,,,5901.468,254,254,
Fiona Geminder,Geminder,fiona-geminder,fiona-geminder,5.269,52,packaging,Manufacturing,F,Australia,,1488028803343,,,2615.264,787,787,
Florentino Perez,Perez,florentino-perez,florentino-perez,-9.115,69,construction,Construction & Engineering,M,Spain,,1488028803344,,,1758.971,1213,1213,
Folorunsho Alakija,Alakija,folorunsho-alakija,folorunsho-alakija,0,66,oil,Energy,F,Nigeria,,1488028803344,,,1617.668,1289,1289,http://specials-images.forbesimg.com/imageserve/56cbc747e4b062f6b59a46bd/416x416.jpg?background=000000&cropX1=237&cropX2=519&cropY1=193&cropY2=475
Forrest Preston,Preston,forrest-preston,no-pic,0,83,health care,Healthcare,M,United States,,1488028803344,TN,Tennessee,1393.722,1474,1474,http://specials-images.forbesimg.com/imageserve/580f60ee31358e2383160e88/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=89&cropY2=833
Francesco Gaetano Caltagirone,Caltagirone,francesco-gaetano-caltagirone,francesco-gaetano-caltagirone,-34.097,73,"cement, diversified",Construction & Engineering,M,Italy,,1488028803344,,,1849.915,1149,1149,
Francis Choi,Choi,francis-choi,francis-choi,-0.147,69,real estate,Real Estate,M,Hong Kong,,1488028803343,,,5904.992,253,253,
Francois Pinault & family,Pinault,francois-pinault,francois-pinault,-46.394,80,luxury goods,Fashion & Retail,M,France,,1488028803343,,,15939.975,61,61,
Frank Fertitta III,Fertitta,frank-fertitta-iii,frank-fertitta-iii,-7.718,55,"casinos, Ultimate Fighting Championship",Sports,M,United States,,1488028803343,NV,Nevada,2001.551,1046,1046,http://specials-images.forbesimg.com/imageserve/5f23069c31349e16f7c04304d5568c42/416x416.jpg?background=000000&cropX1=0&cropX2=600&cropY1=51&cropY2=651
Frank Lowy,Lowy,frank-lowy,frank-lowy,-21.944,86,shopping malls,Real Estate,M,Australia,,1488028803343,,,5598.578,281,281,
Frank Stronach,Stronach,frank-stronach,frank-stronach,0,84,auto parts,Automotive,M,Canada,"Founder, Magna International",1488028803344,,Ontario,1467,1411,1411,
Frank Wang,Wang,frank-wang,frank-wang,0,36,drones,Technology,M,China,"Founder and CEO, DJI Technology Co.",1488028803343,,Guangdong,3600,539,539,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617
Fred Chang,Chang,fred-chang,no-pic,0,60,online retailing,Technology,M,United States,"CEO and Chairman, Newegg.com",1488028803344,,,1000,1847,1849,
Frederick Smith,Smith,frederick-smith,frederick-smith,37.509,72,FedEx,Logistics,M,United States,"Chairman and CEO, FedEx",1488028803343,TN,Tennessee,4338.908,407,407,http://specials-images.forbesimg.com/imageserve/57e073c04bbe6f6781c526bf/416x416.jpg?background=000000&cropX1=84&cropX2=620&cropY1=135&cropY2=672
Frederik Paulsen,Paulsen,frederik-paulsen,frederik-paulsen,0,66,health care,Healthcare,M,Sweden,,1488028803343,,,6862.904,207,207,
Fredrik Lundberg,Lundberg,fredrik-lundberg,fredrik-lundberg,-64.931,65,"real estate, investments",Real Estate,M,Sweden,,1488028803343,,,4095.035,439,439,
Friede Springer,Springer,friede-springer,friede-springer,-27.547,74,publishing,Media & Entertainment,F,Germany,,1488028803343,,,3891.126,471,471,
Friederike Braun-Luedicke,Braun-Luedicke,friederike-braun-luedicke,no-pic-female,0,33,medical technology,Healthcare,F,Germany,,1488028803344,,,1340.642,1522,1524,
Friedhelm Loh,Loh,friedhelm-loh,friedhelm-loh,0,70,manufacturing,Manufacturing,M,Germany,,1488028803343,,,2658.617,771,771,
Friedrich Knapp,Knapp,friedrich-knapp,friedrich-knapp,0,65,fashion retail,Fashion & Retail,M,Germany,,1488028803344,,,1391.628,1477,1477,
Frits Goldschmeding,Goldschmeding,frits-goldschmeding,frits-goldschmeding,-26.934,83,temp agency,Service,M,Netherlands,,1488028803343,,,4373.402,401,401,
Fritz Draexlmaier,Draexlmaier,fritz-draexlmaier,fritz-draexlmaier,0,,auto parts,Automotive,M,Germany,,1488028803344,,,1750.738,1218,1218,
Fu Guangming & family,Fu,fu-guangming,fu-guangming,0.001,63,poultry,Food and Beverage,M,China,,1488028803344,,Fujian,1493.458,1387,1387,
Fu Kwan,Fu,fu-kwan,fu-kwan,0.978,59,"real estate, diversified",Diversified,M,China,,1488028803344,,Beijing,1160.594,1698,1698,
Fu Liquan & family,Fu,fu-liquan,no-pic,-21.506,49,surveillance equipment,Technology,M,China,,1488028803343,,Zhejiang,2574.99,797,797,http://specials-images.forbesimg.com/imageserve/57fe35da4bbe6f19f2b5018c/416x416.jpg?background=000000&cropX1=261&cropX2=619&cropY1=44&cropY2=402
Fu Meicheng & family,Fu,fu-meicheng,fu-meicheng,19.372,59,"TV shows, movies",Media & Entertainment,M,China,,1488028803344,,Zhejiang,1281.986,1583,1583,
Gabe Newell,Newell,gabe-newell,gabe-newell,0,54,videogames,Gambling & Casinos,M,United States,,1488028803343,WA,Washington,4131,435,435,http://specials-images.forbesimg.com/imageserve/55fac825e4b0ffa7afe4afa5/416x416.jpg?background=000000&cropX1=55&cropX2=599&cropY1=89&cropY2=634
Gabriel Escarrer,Escarrer,gabriel-escarrer,gabriel-escarrer,-13.916,81,hotels,Service,M,Spain,,1488028803344,,,1680.813,1247,1247,
Gail Miller,Miller,gail-miller,gail-miller,0,73,"basketball, car dealers",Sports,F,United States,,1488028803344,UT,Utah,1752.94,1216,1216,http://specials-images.forbesimg.com/imageserve/57e34b4d31358e16c589cf89/416x416.jpg?background=000000&cropX1=172&cropX2=618&cropY1=300&cropY2=746
Galen Weston & family,Weston,galen-weston,galen-weston,-114.188,76,retail,Fashion & Retail,M,Canada,"Owner, Selfridges Group",1488028803343,,,9643.537,135,135,
Gao Dekang & family,Gao,gao-dekang,gao-dekang,-6.712,65,apparel,Fashion & Retail,M,China,,1488028803344,,Jiangsu,1077.159,1777,1777,
Gao Tianguo,Gao,gao-tianguo,no-pic,-43.943,65,"real estate, finance",Real Estate,M,China,,1488028803343,,Shanghai,2803.996,728,728,
Garrett Camp,Camp,garrett-camp,garrett-camp,0,38,Uber Technologies,Technology,M,Canada,"Cofounder and Chairman, Uber Technologies Inc.",1488028803343,CA,California,6300,235,235,http://specials-images.forbesimg.com/imageserve/564a65c3e4b0ffa7afe7347d/416x416.jpg?background=000000&cropX1=16&cropX2=696&cropY1=21&cropY2=701
Gary Fegel,Fegel,gary-fegel,gary-fegel,0,43,commodities trading,Metals & Mining,M,Switzerland,,1488028803344,,,1200,1664,1665,//specials-images.forbesimg.com/imageserve/55006594e4b095aa68c82ad0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=16&cropY2=760
Gary Magness,Magness,gary-magness,gary-magness,1.822,62,"cable TV, investments",Media & Entertainment,M,United States,,1488028803344,CO,Colorado,1408.546,1457,1457,
Gary Michelson,Michelson,gary-michelson,gary-michelson,0,68,medical patents,Healthcare,M,United States,,1488028803344,CA,California,1700,1233,1233,
Gary Rollins,Rollins,gary-rollins,no-pic,-26.211,72,pest control,Service,M,United States,,1488028803343,GA,Georgia,3543.125,547,547,http://specials-images.forbesimg.com/imageserve/57e11eb8a7ea430a8a1a0944/416x416.jpg?background=000000&cropX1=166&cropX2=649&cropY1=106&cropY2=589
Gautam Adani,Adani,gautam-adani-1,no-pic,0,54,"commodities, ports",Diversified,M,India,,1488028803343,,,5896.848,256,256,
Gavril Yushvaev,Yushvaev,gavril-yushvaev,gavril-yushvaev,0,59,"precious metals, real estate",Finance and Investments,M,Russia,,1488028803344,,,1174.023,1688,1688,
Geng Jianming & family,Geng,geng-jianming,geng-jianming,-28.367,54,real estate,Real Estate,M,China,,1488028803344,,Hebei,1798.727,1186,1186,
Gennady Timchenko,Timchenko,gennady-timchenko,gennady-timchenko,50.7,64,"oil, gas",Energy,M,Russia,,1488028803343,,,16400.47,57,57,
Georg Schaeffler,Schaeffler,georg-schaeffler,georg-schaeffler,-234.212,52,automotive,Automotive,M,Germany,,1488028803343,,,20792.426,37,37,
Georg von Opel,von Opel,georg-von-opel,georg-von-opel,0,50,"real estate, investments",Finance and Investments,M,Germany,,1488028803343,,,2000,1049,1049,
George Argyros & family,Argyros,george-argyros,george-argyros,0.486,80,"real estate, investments",Real Estate,M,United States,"Chairman and CEO, Arnel &#38; Affiliates",1488028803343,CA,California,2194.13,956,956,http://specials-images.forbesimg.com/imageserve/57e191fb4bbe6f6781c52f34/416x416.jpg?background=000000&cropX1=8&cropX2=744&cropY1=216&cropY2=952
George Bishop,Bishop,george-bishop,no-pic,0,79,oil & gas,Energy,M,United States,,1488028803343,TX,Texas,2524,825,825,
George Joseph,Joseph,george-joseph,george-joseph,-5.265,95,insurance,Finance and Investments,M,United States,,1488028803344,CA,California,1635.641,1275,1275,
George Kaiser,Kaiser,george-kaiser,george-kaiser,-31.978,74,"oil & gas, banking",Energy,M,United States,"Chairman, BOK Financial",1488028803343,OK,Oklahoma,7885.718,175,175,http://specials-images.forbesimg.com/imageserve/d02549ca5385d2a05fa6f4bbb4e6d79e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=119&cropY2=863
George Lindemann & family,Lindemann,george-lindemann,george-lindemann,-1.566,80,investments,Finance and Investments,M,United States,,1488028803343,FL,Florida,3368.752,581,581,http://specials-images.forbesimg.com/imageserve/67c70c6aef6863d196e8a34b8300eeaa/416x416.jpg?background=000000&cropX1=69&cropX2=705&cropY1=39&cropY2=676
George Lucas,Lucas,george-lucas,george-lucas,21.875,72,Star Wars,Media & Entertainment,M,United States,,1488028803343,CA,California,5290.224,309,309,http://specials-images.forbesimg.com/imageserve/57e065f74bbe6f6781c52604/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=200&cropY2=944
George Marcus,Marcus,george-marcus,no-pic,0.974,75,real estate,Real Estate,M,United States,,1488028803344,CA,California,1034.854,1819,1819,
George Roberts,Roberts,george-roberts,george-roberts,-16.715,73,private equity,Finance and Investments,M,United States,,1488028803343,CA,California,4991.832,332,332,http://specials-images.forbesimg.com/imageserve/57e067bba7ea430a8a1a070e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=129&cropY2=873
George Soros,Soros,george-soros,george-soros,0,86,hedge funds,Finance and Investments,M,United States,"Founder, Soros Fund Management LLC",1488028803343,NY,New York,25200,31,31,http://specials-images.forbesimg.com/imageserve/57e576dc31358e16c589dce3/416x416.jpg?background=000000&cropX1=27&cropX2=737&cropY1=0&cropY2=711
George Ty & family,Ty,george-ty,george-ty,-23.525,84,banking,Finance and Investments,M,Philippines,,1488028803343,,,3526.851,552,552,
Gerald Ford,Ford,gerald-ford,gerald-ford,-6.216,72,banking,Finance and Investments,M,United States,"Managing Member, Ford Financial Fund",1488028803343,TX,Texas,2312.719,911,911,http://specials-images.forbesimg.com/imageserve/9ee2e42bc1195265baa0e64db3eca460/416x416.jpg?background=000000&cropX1=150&cropX2=667&cropY1=97&cropY2=614
Gerald Schwartz,Schwartz,gerald-schwartz,gerald-schwartz,4.516,75,finance,Finance and Investments,M,Canada,,1488028803344,,,1788.115,1192,1192,
Gerard Wertheimer,Wertheimer,gerard-wertheimer-1,gerard-wertheimer-1,0,66,Chanel,Fashion & Retail,M,France,,1488028803343,NY,New York,11749.655,113,114,
German Khan,Khan,german-khan,german-khan,-47.529,55,"oil, banking, telecom",Energy,M,Russia,,1488028803343,,,9254.349,141,141,
German Larrea Mota Velasco & family,Larrea Mota Velasco,german-larrea-mota-velasco,no-pic,-143.961,63,mining,Metals & Mining,M,Mexico,,1488028803343,,,13945.71,81,81,
Gerry Harvey,Harvey,gerry-harvey,gerry-harvey,-21.527,77,retail,Fashion & Retail,M,Australia,,1488028803344,,,1825.916,1163,1163,
Gian Marco Moratti,Moratti,gian-marco-moratti,gian-marco-moratti,-0.494,80,oil refinery,Energy,M,Italy,,1488028803344,,,1285.653,1576,1576,
Gianluigi & Rafaela Aponte,Aponte,gianluigi-rafaela-aponte,gianluigi-rafaela-aponte,0,,shipping,Logistics,,Switzerland,,1488028803343,,,7498.806,186,186,
Gil Shwed,Shwed,gil-shwed,gil-shwed,-10.575,49,software,Technology,M,Israel,,1488028803343,,,2716.103,752,752,
Gilberto Benetton,Benetton,gilberto-benetton,gilberto-benetton,-9.368,75,"fashion retail, investments",Fashion & Retail,M,Italy,,1488028803343,,,2633.951,781,782,
Gilles Martin,Martin,gilles-martin,no-pic,-25.757,53,laboratory services,Healthcare,M,France,,1488028803343,,,1904.326,1118,1118,
Gina Rinehart,Rinehart,gina-rinehart,gina-rinehart,-0.118,63,mining,Metals & Mining,F,Australia,"Executive Chairman, Hancock Prospecting",1488028803343,,,14727.549,72,72,http://specials-images.forbesimg.com/imageserve/5734abc631358e68498f61ed/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
Giorgio Armani,Armani,giorgio-armani,giorgio-armani,3.304,82,luxury goods,Fashion & Retail,M,Italy,,1488028803343,,,6590.725,222,222,
Giuliana Benetton,Benetton,giuliana-benetton,giuliana-benetton,-9.368,79,"fashion retail, investments",Fashion & Retail,F,Italy,,1488028803343,,,2633.951,781,783,
Giuseppe De'Longhi,De'Longhi,giuseppe-delonghi,no-pic,46.034,77,coffee makers,Fashion & Retail,M,Italy,,1488028803343,,,3792.427,500,500,
Gleb Fetisov,Fetisov,gleb-fetisov,gleb-fetisov,0,50,investments,Telecom,M,Russia,,1488028803344,,,1215,1645,1645,
Glen Taylor,Taylor,glen-taylor,glen-taylor,0,75,printing,Service,M,United States,,1488028803344,MN,Minnesota,1885.474,1126,1126,http://specials-images.forbesimg.com/imageserve/57e19bdd4bbe6f6781c5309d/416x416.jpg?background=000000&cropX1=72&cropX2=660&cropY1=48&cropY2=636
Glenn Dubin,Dubin,glenn-dubin,glenn-dubin,0,59,hedge funds,Finance and Investments,M,United States,"Co-Founder, Highbridge Capital Management",1488028803343,NY,New York,2000,1049,1050,http://specials-images.forbesimg.com/imageserve/57e195c031358e16c589c053/416x416.jpg?background=000000&cropX1=55&cropX2=707&cropY1=24&cropY2=677
God Nisanov,Nisanov,god-nisanov,god-nisanov,0,44,real estate,Real Estate,M,Russia,,1488028803343,,,2995.42,679,679,
Goh Cheng Liang,Goh,goh-cheng-liang,goh-cheng-liang,-22.541,89,paints,Manufacturing,M,Singapore,,1488028803343,,,6607.859,219,219,
Gong Hongjia & family,Gong,gong-hongjia,gong-hongjia,-115.151,52,investments,Finance and Investments,M,Hong Kong,,1488028803343,,,5855.096,260,260,
Gordon Getty,Getty,gordon-getty,gordon-getty,0,83,Getty Oil,Energy,M,United States,"President and Chairman, Ann &#38; Gordon Getty Foundation",1488028803343,CA,California,2105,993,993,http://specials-images.forbesimg.com/imageserve/55fb030be4b0ffa7afe4b379/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=264&cropY2=1008
Gordon Moore,Moore,gordon-moore,gordon-moore,62.569,88,Intel,Technology,M,United States,"Cofounder and Chairman Emeritus, Intel",1488028803343,CA,California,7328.207,196,196,http://specials-images.forbesimg.com/imageserve/9032bff5e34d21282fd3b61994953d63/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
Gordon Wu,Wu,gordon-wu,gordon-wu,-0.076,81,real estate,Real Estate,M,Hong Kong,,1488028803344,,,1079.882,1774,1774,
Graeme Hart,Hart,graeme-hart,graeme-hart,0,61,investments,Finance and Investments,M,New Zealand,,1488028803343,,,9560.396,137,137,
Gregorio Perez Companc,Perez Companc,gregorio-perez-companc,gregorio-perez-companc,0,81,oil & gas,Energy,M,Argentina,,1488028803344,,,1530,1361,1361,
Gu Wei,Gu,gu-wei,no-pic,7.757,52,consumer electronics,Manufacturing,M,China,,1488028803344,,Guangdong,1397.101,1466,1466,
Gudrun Heine,Heine,gudrun-heine,no-pic-female,0,62,medical devices,Healthcare,F,Germany,,1488028803343,,,2070.755,1006,1006,
Guenter Herz & family,Herz,guenter-herz,no-pic,0,76,coffee,Finance and Investments,M,Germany,,1488028803343,,,3484.8,561,562,
Guenther Fielmann & family,Fielmann,guenther-fielmann,guenther-fielmann,10.199,77,optometry,Healthcare,M,Germany,,1488028803343,,,5292.179,308,308,
Guenther Lehmann,Lehmann,guenther-lehmann,no-pic,0,,drug stores,Fashion & Retail,M,Germany,,1488028803343,,,2428.027,871,871,
Guido Barilla,Barilla,guido-barilla,guido-barilla,0,58,Barilla pasta,Food and Beverage,M,Italy,,1488028803344,,,1334.746,1529,1530,
Guo Guangchang,Guo,guo-guangchang,guo-guangchang,-34.667,50,conglomerate,Diversified,M,China,,1488028803343,,Shanghai,6426.287,229,229,
Gustaf Douglas,Douglas,gustaf-douglas,gustaf-douglas,-40.556,78,investments,Diversified,M,Sweden,,1488028803343,,,3296.169,596,596,
Gustav Magnar Witzoe,Witzoe,gustav-magnar-witzoe,no-pic,8.306,23,fish farming,Food and Beverage,M,Norway,,1488028803344,,,1601.949,1296,1296,
Gustavo Cisneros & family,Cisneros,gustavo-cisneros,gustavo-cisneros,0,71,media,Media & Entertainment,M,Venezuela,,1488028803344,,,1382.674,1486,1486,
Gustavo Denegri,Denegri,gustavo-denegri,gustavo-denegri,3.991,81,medical tests,Healthcare,M,Italy,,1488028803344,,,1651.667,1265,1265,
Guy Laliberte,Laliberte,guy-laliberte,guy-laliberte,0,57,Cirque du Soleil,Media & Entertainment,M,Canada,"Cofounder and CEO, Cirque du Soleil",1488028803344,,,1367.856,1494,1494,
Gwendolyn Sontheim Meyer,Meyer,gwendolyn-sontheim-meyer,no-pic-female,0,55,Cargill,Food and Beverage,F,United States,,1488028803343,CA,California,4334.067,408,408,
H. Fisk Johnson,Johnson,h-fisk-johnson,h-fisk-johnson,-1.848,58,cleaning products,Manufacturing,M,United States,,1488028803343,WI,Wisconsin,3811.996,492,492,http://specials-images.forbesimg.com/imageserve/57e072564bbe6f6781c526bb/416x416.jpg?background=000000&cropX1=5&cropX2=726&cropY1=39&cropY2=761
H. Ross Perot Jr,Perot,h-ross-perot-jr,h-ross-perot-jr,0,58,real estate,Real Estate,M,United States,,1488028803344,TX,Texas,1600,1300,1302,
H. Ross Perot Sr,Perot,h-ross-perot-sr,h-ross-perot-sr,0,86,"computer services, real estate",Diversified,M,United States,,1488028803343,TX,Texas,3959.544,460,460,http://specials-images.forbesimg.com/imageserve/57e06d97a7ea430a8a1a0771/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
H. Wayne Huizenga,Huizenga,h-wayne-huizenga,h-wayne-huizenga,0.06,79,investments,Finance and Investments,M,United States,,1488028803343,FL,Florida,2753.014,748,748,http://specials-images.forbesimg.com/imageserve/56d0d4f7e4b0c144a7f65d48/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=26&cropY2=770
Habil Khorakiwala,Khorakiwala,habil-khorakiwala,habil-khorakiwala,0,74,pharmaceuticals,Healthcare,M,India,,1488028803344,,,1350.599,1509,1509,
Haim Saban,Saban,haim-saban,haim-saban,2.298,72,"TV network, investments",Media & Entertainment,M,United States,,1488028803343,CA,California,2983.363,683,683,http://specials-images.forbesimg.com/imageserve/57e083ee4bbe6f6781c52705/416x416.jpg?background=000000&cropX1=90&cropX2=539&cropY1=105&cropY2=555
Hal Jackman,Jackman,hal-jackman,hal-jackman,-0.013,84,"insurance, investments",Finance and Investments,M,Canada,,1488028803344,,Ontario,1397.068,1467,1467,
Hamdi Ulukaya,Ulukaya,hamdi-ulukaya,hamdi-ulukaya,0,44,Chobani yogurt,Food and Beverage,M,Turkey,,1488028803344,NY,New York,1692.83,1241,1241,
Hamilton James,James,hamilton-james,hamilton-james,-8.261,65,investments,Finance and Investments,M,United States,,1488028803344,NY,New York,1599.427,1305,1305,
Han Chang-Woo & family,Han,han-chang-woo,han-chang-woo,0,86,pachinko parlors,Gambling & Casinos,M,Japan,,1488028803343,,,3525.808,553,553,
Han Tao,Han,han-tao,no-pic,8.804,56,electronics components,Manufacturing,M,China,,1488028803344,,Zhejiang,1455.258,1419,1419,
Hank & Doug Meijer,Meijer,hank-doug-meijer,hank-doug-meijer,0,,supermarkets,Fashion & Retail,M,United States,,1488028803343,MI,Michigan,7118.279,201,201,http://specials-images.forbesimg.com/imageserve/7323a2a143c9b646a26c7cb1944bfb73/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=56&cropY2=800
Hanni Toosbuy Kasprzak,Toosbuy Kasprzak,hanni-toosbuy-kasprzak,hanni-toosbuy-kasprzak,0,59,shoes,Fashion & Retail,F,Denmark,,1488028803343,,,2461.951,853,853,
Hans Georg Naeder,Naeder,hans-georg-naeder,hans-georg-naeder,0,55,prosthetics,Manufacturing,M,Germany,,1488028803343,,,2192.564,958,958,
Hans Melchers,Melchers,hans-melchers,hans-melchers,4.266,78,"chemicals, investments",Finance and Investments,M,Netherlands,,1488028803343,,,2849,717,717,
Hans Peter Wild,Wild,hans-peter-wild,hans-peter-wild,0,75,flavorings,Food and Beverage,M,Germany,,1488028803343,,,2569.007,800,800,
Hans Rausing,Rausing,hans-rausing,hans-rausing,0,90,packaging,Manufacturing,M,Sweden,,1488028803343,,,12500,98,98,
Hans-Werner Hector,Hector,hans-werner-hector,no-pic,0,77,SAP,Technology,M,Germany,,1488028803344,,,1398.157,1463,1463,
Hansjoerg Wyss,Wyss,hansjoerg-wyss,hansjoerg-wyss,-1.99,82,medical devices,Healthcare,M,Switzerland,,1488028803343,WY,Wyoming,5509.59,290,290,http://specials-images.forbesimg.com/imageserve/56cc27eee4b062f6b59a4f9f/416x416.jpg?background=000000&cropX1=64&cropX2=521&cropY1=48&cropY2=506
Harjo Sutanto,Sutanto,harjo-sutanto,no-pic,0,90,consumer goods,Fashion & Retail,M,Indonesia,,1488028803344,,,1167.174,1693,1693,
Harold Hamm & family,Hamm,harold-hamm,harold-hamm,-449.453,71,oil & gas,Energy,M,United States,"Chairman and CEO, Continental Resources",1488028803343,OK,Oklahoma,12913.01,91,91,http://specials-images.forbesimg.com/imageserve/56d0d5c1e4b0c144a7f65d68/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=98&cropY2=842
Harry Stine,Stine,harry-stine,harry-stine,-0.708,75,agriculture,Food and Beverage,M,United States,,1488028803343,IA,Iowa,3488.168,560,560,http://specials-images.forbesimg.com/imageserve/57e0828b4bbe6f6781c526f9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=84&cropY2=828
Harry Triguboff,Triguboff,harry-triguboff,harry-triguboff,0,83,property,Real Estate,M,Australia,,1488028803343,,,8754.237,153,153,
Harsh Goenka,Goenka,harsh-goenka,harsh-goenka,0,59,diversified,Diversified,M,India,,1488028803344,,,1688.871,1242,1242,http://specials-images.forbesimg.com/imageserve/57d88fc5a7ea430a8a19de14/416x416.jpg?background=000000&cropX1=97&cropX2=472&cropY1=301&cropY2=676
Harsh Mariwala,Mariwala,harsh-mariwala,harsh-mariwala,0,65,consumer goods,Food and Beverage,M,India,,1488028803344,,,1827.066,1161,1161,http://specials-images.forbesimg.com/imageserve/57d887c531358e16c5898f99/416x416.jpg?background=000000&cropX1=209&cropX2=525&cropY1=219&cropY2=535
Hary Tanoesoedibjo,Tanoesoedibjo,hary-tanoesoedibjo,hary-tanoesoedibjo,-0.9,51,media,Media & Entertainment,M,Indonesia,,1488028803344,,,1045.23,1809,1809,
Hasmukh Chudgar,Chudgar,hasmukh-chudgar,no-pic,0,83,pharmaceuticals,Healthcare,M,India,,1488028803343,,,2437.356,869,869,
Hasso Plattner & family,Plattner,hasso-plattner,hasso-plattner,-98.461,73,software,Technology,M,Germany,,1488028803343,,,11273.551,118,118,http://specials-images.forbesimg.com/imageserve/57a349b031358e4fd70bd8b3/416x416.jpg?background=000000&cropX1=64&cropX2=697&cropY1=48&cropY2=681
He Qiaonv & family,He,he-qiaonv,he-qiaonv,12.201,51,landscape architecture,Service,F,China,,1488028803344,,Beijing,1822.976,1169,1169,
He Xiangjian,He,he-xiangjian,he-xiangjian,-218.719,74,home appliances,Manufacturing,M,China,"Founder, Midea Group Co. Ltd.",1488028803343,,Guangdong,12310.294,103,103,
He Yamin & family,He,he-yamin,no-pic,8.821,60,manufacturing,Manufacturing,M,China,,1488028803344,,Sichuan,1619.19,1288,1288,
He Zhiping,He,he-zhiping,he-zhiping,-0.448,53,investments,Finance and Investments,M,China,,1488028803344,,Guangdong,1034.13,1820,1820,
Hedda im Brahm Droege,Droege,hedda-im-brahm-droege,no-pic-female,0,62,consulting,Service,F,Germany,,1488028803343,,,2115.242,985,985,
Heidi Horten,Horten,heidi-horten,heidi-horten,0,76,retail,Fashion & Retail,F,Austria,,1488028803343,,,2783.603,736,736,
Heikki Kyostila,Kyostila,heikki-kyostila,no-pic,0,71,dental products,Healthcare,M,Finland,,1488028803343,,,2137.485,976,976,
Heinrich Deichmann & family,Deichmann,heinrich-deichmann,heinrich-deichmann,0,54,footwear,Fashion & Retail,M,Germany,,1488028803343,,,7701.754,178,178,
Heinz Hermann Thiele & family,Thiele,heinz-hermann-thiele,heinz-hermann-thiele,-6.203,75,brakes,Construction & Engineering,M,Germany,,1488028803343,,,13004.723,89,89,
