name,lastName,uri,imageUri,worthChange,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Julia Oetker,Oetker,julia-oetker,julia-oetker,0,consumer goods,Fashion & Retail,F,Germany,1488028203331,1967.707,1069,1074
Julio Mario Santo Domingo III,Santo Domingo,julio-mario-santo-domingo-iii,julio-mario-santo-domingo-iii,-5.7,beer,Food and Beverage,M,United States,1488028203331,2375.903,892,892
K. Dinesh,Dinesh,k-dinesh,k-dinesh,0,software services,Technology,M,India,1488028203332,1191.218,1669,1669
K. Rai Sahi,Sahi,k-rai-sahi,k-rai-sahi,-2.648,real estate,Real Estate,M,Canada,1488028203332,1212.488,1647,1647
Kagemasa Kozuki,Kozuki,kagemasa-kozuki,kagemasa-kozuki,8.081,video games,Technology,M,Japan,1488028203332,1128.024,1730,1730
Kapil & Rahul Bhatia,Bhatia,kapil-rahul-bhatia,kapil-rahul-bhatia,0,airlines,Service,M,India,1488028203331,3292.994,597,597
Karel Komarek,Komarek,karel-komarek,karel-komarek,-12.514,oil & gas,Energy,M,Czech Republic,1488028203331,2180.63,961,961
Karl Friedrich Braun,Braun,karl-friedrich-braun,no-pic,0,medical technology,Healthcare,M,Germany,1488028203332,1150.514,1701,1703
Karl-Johan Persson,Persson,karl-johan-persson,karl-johan-persson,-62.074,H&M,Fashion & Retail,M,Sweden,1488028203331,2109.175,989,989
Karl Scheufele III & family,Scheufele,karl-scheufele-iii,karl-scheufele-iii,0,jewelry,Fashion & Retail,M,Switzerland,1488028203332,1931.348,1101,1101
Karsanbhai Patel,Patel,karsanbhai-patel,karsanbhai-patel,0,consumer goods,Diversified,M,India,1488028203331,2690.696,759,759
Katharina Andresen,Andresen,katharina-andresen,no-pic-female,0,investments,Diversified,F,Norway,1488028203332,1216.919,1642,1643
Katharine Rayner,Rayner,katharine-rayner,no-pic-female,0,media,Media & Entertainment,F,United States,1488028203331,8118.183,165,166
Katherine Tanner,Tanner,katherine-tanner,no-pic-female,0,Cargill,Food and Beverage,F,United States,1488028203332,1872.849,1131,1132
Kazuo Okada & family,Okada,kazuo-okada,kazuo-okada,-14.508,casinos,Gambling & Casinos,M,Japan,1488028203331,2376.091,890,890
Ke Xiping & family,Ke,ke-xiping,ke-xiping,-0.23,investments,Diversified,M,China,1488028203332,1515.912,1371,1371
Ke Zunhong & family,Ke,ke-zunhong,no-pic,-38.793,pharmaceuticals,Healthcare,M,China,1488028203331,2871.978,708,709
Keeree Kanjanapas,Kanjanapas,keeree-kanjanapas,keeree-kanjanapas,-0.106,transportation,Real Estate,M,Thailand,1488028203332,1401.876,1460,1460
Kei Hoi Pang,Kei,kei-hoi-pang,kei-hoi-pang,0,real estate,Real Estate,M,China,1488028203331,2032.208,1031,1031
Keiichiro Takahara & family,Takahara,keiichiro-takahara,keiichiro-takahara,34.638,diapers,Manufacturing,M,Japan,1488028203331,4190.03,426,426
Kelcy Warren,Warren,kelcy-warren,kelcy-warren,-20.63,pipelines,Energy,M,United States,1488028203331,4429.343,395,395
Kenji Kasahara,Kasahara,kenji-kasahara,kenji-kasahara,0.065,social network,Technology,M,Japan,1488028203332,1592.435,1313,1313
Kenneth Feld & family,Feld,kenneth-feld,kenneth-feld,0,"circus, live entertainment",Media & Entertainment,M,United States,1488028203331,2500,837,838
Kenneth Langone,Langone,kenneth-langone,kenneth-langone,15.456,investments,Finance and Investments,M,United States,1488028203331,3084.529,652,652
Kenneth Lo,Lo,kenneth-lo,kenneth-lo,0,textiles,Finance and Investments,M,United Kingdom,1488028203332,1123.109,1737,1737
Kenneth Tuchman,Tuchman,kenneth-tuchman,no-pic,11.013,outsourcing,Service,M,United States,1488028203332,1337.325,1526,1526
Kevin Plank,Plank,kevin-plank,kevin-plank,11.228,Under Armour,Fashion & Retail,M,United States,1488028203331,1959.125,1082,1082
Kiat Chiaravanont,Chiaravanont,kiat-chiaravanont,no-pic,-5.019,food,Food and Beverage,M,Thailand,1488028203332,1492.333,1390,1390
Kieu Hoang,Hoang,kieu-hoang,kieu-hoang,-3.32,medical products,Healthcare,M,United States,1488028203331,2850.321,716,716
Kim Beom-Su,Kim,kim-beom-su,kim-beom-su,3.961,online services,Technology,M,South Korea,1488028203332,1748.463,1219,1219
Kim Jung-Ju,Kim,kim-jung-ju,kim-jung-ju,-20.08,online games,Technology,M,South Korea,1488028203331,4306.06,414,414
Kim Nam-Jung,Kim,kim-nam-jung,kim-nam-jung,13.902,food,Food and Beverage,M,South Korea,1488028203332,1589.108,1317,1317
Kim Taek-Jin,Kim,kim-taek-jin,kim-taek-jin,-11.553,online games,Gambling & Casinos,M,South Korea,1488028203332,1290.186,1569,1569
Kin-man Yeung,Yeung,kin-man-yeung,no-pic,0,electronics,Manufacturing,M,Hong Kong,1488028203331,4264.708,417,417
King Pak Fu,King,king-pak-fu,king-pak-fu,-94.944,real estate,Real Estate,M,Hong Kong,1488028203332,1342.117,1519,1519
Kiran Mazumdar-Shaw,Mazumdar-Shaw,kiran-mazumdar-shaw,kiran-mazumdar-shaw,0,biotech,Healthcare,F,India,1488028203331,2183.382,959,959
Kirill Shamalov,Shamalov,kirill-shamalov,kirill-shamalov,0,petrochemicals,Energy,M,Russia,1488028203332,1252.622,1614,1614
Kirsten Rausing,Rausing,kirsten-rausing,kirsten-rausing,0,packaging,Food and Beverage,F,Sweden,1488028203331,5901.468,254,255
Kishore Mariwala,Mariwala,kishore-mariwala,no-pic,0,consumer goods,Food and Beverage,M,India,1488028203332,1507.769,1375,1375
Klaus Hellmann,Hellmann,klaus-hellmann,no-pic,0,logistics,Logistics,M,Germany,1488028203332,1260.888,1606,1607
Klaus-Peter Schulenberg,Schulenberg,klaus-peter-schulenberg,klaus-peter-schulenberg,-9.444,ticketing service,Service,M,Germany,1488028203332,1824.12,1165,1165
Koh Wee Meng,Koh,koh-wee-meng,koh-wee-meng,33.454,"real estate, hotels",Real Estate,M,Singapore,1488028203332,1093.575,1768,1768
Kommer Damen,Damen,kommer-damen,kommer-damen,0,shipbuilding,Manufacturing,M,Netherlands,1488028203332,1597.191,1307,1307
Koo Bon-Moo,Koo,koo-bon-moo,koo-bon-moo,-7.728,"electronics, chemicals, household products",Technology,M,South Korea,1488028203332,1708.022,1231,1231
Koos Bekker,Bekker,koos-bekker,koos-bekker,-12.283,"media, investments",Media & Entertainment,M,South Africa,1488028203331,2079.794,1001,1001
Kostyantin Zhevago,Zhevago,kostyantin-zhevago,kostyantin-zhevago,-20.342,mining,Metals & Mining,M,Ukraine,1488028203332,1144.729,1712,1712
Krit Ratanarak,Ratanarak,krit-ratanarak,krit-ratanarak,-2.564,"media, real estate",Media & Entertainment,M,Thailand,1488028203331,2239.539,943,943
Kuan Kam Hon,Kuan,kuan-kam-hon,kuan-kam-hon,7.828,synthetic gloves,Manufacturing,M,Malaysia,1488028203332,1030.686,1823,1823
Kuldip Singh & Gurbachan Singh Dhingra,Dhingra,kuldip-singh-gurbachan-singh-dhingra,kuldip-singh-gurbachan-singh-dhingra,-0.001,paints,Manufacturing,M,India,1488028203331,3328.551,589,589
Kuok Khoon Hong,Kuok,kuok-khoon-hong,kuok-khoon-hong,13.899,palm oil,Manufacturing,M,Singapore,1488028203331,2309.962,912,912
Kurt Krieger,Krieger,kurt-krieger,no-pic,0,furniture retailing,Fashion & Retail,M,Germany,1488028203331,2928.056,694,694
Kwee family,Kwee,kwee,kwee,0,Pontiac Land Group,Real Estate,M,Singapore,1488028203331,5267.028,311,311
Kwek Leng Beng,Kwek,kwek-leng-beng,kwek-leng-beng,0,real estate,Real Estate,M,Singapore,1488028203331,2819.056,724,724
Kwon Hyuk-Bin,Kwon,kwon-hyuk-bin,kwon-hyuk-bin,-1.582,online games,Technology,M,South Korea,1488028203331,4935.656,337,337
Lachhman Das Mittal,Mittal,lachhman-das-mittal,lachhman-das-mittal,0,tractors,Automotive,M,India,1488028203332,1409.862,1455,1455
Lam Kong,Lam,lam-kong,lam-kong,14.679,pharmaceuticals,Healthcare,M,China,1488028203331,2096.761,996,996
Lam Wai Ying,Lam,lam-wai-ying,no-pic-female,0,smartphone screens,Manufacturing,F,Hong Kong,1488028203331,4097.464,438,438
Lang Walker,Walker,lang-walker,lang-walker,1.292,property,Real Estate,M,Australia,1488028203332,1333.109,1536,1536
Larry Robbins,Robbins,larry-robbins,larry-robbins,0,hedge funds,Finance and Investments,M,United States,1488028203331,2000,1049,1051
Lars Larsen,Larsen,lars-larsen,lars-larsen,0,retail,Fashion & Retail,M,Denmark,1488028203331,3780.065,503,503
Lau Cho Kun,Lau,lau-cho-kun,lau-cho-kun,-1.222,"palm oil, real estate",Diversified,M,Malaysia,1488028203331,2093.413,997,997
Laurene Powell Jobs & family,Powell Jobs,laurene-powell-jobs,laurene-powell-jobs,66.699,"Apple, Disney",Technology,F,United States,1488028203331,20036.527,41,41
Laurent Burelle,Burelle,laurent-burelle,laurent-burelle,-32.265,automotive systems,Automotive,M,France,1488028203332,1384.67,1483,1484
Law Kar Po,Law,law-kar-po,law-kar-po,0,real estate,Real Estate,M,Hong Kong,1488028203331,5302.494,307,307
Lawrence Ho,Ho,lawrence-ho,lawrence-ho,-21.937,casinos,Gambling & Casinos,M,Hong Kong,1488028203332,1576.931,1325,1325
Lawrence Stroll,Stroll,lawrence-stroll,lawrence-stroll,0,fashion investments,Fashion & Retail,M,Canada,1488028203331,2598.5,791,791
Lee Boo-Jin,Lee,lee-boo-jin,lee-boo-jin,15.83,computer services/tourism,Service,F,South Korea,1488028203332,1633.716,1278,1278
Lee Hae-Jin,Lee,lee-hae-jin,lee-hae-jin,-6.837,Internet portal,Technology,M,South Korea,1488028203332,1118.222,1740,1740
Lee Ho-Jin,Lee,lee-ho-jin,lee-ho-jin,-0.653,"petrochemicals, finance, media, electronics",Diversified,M,South Korea,1488028203332,1128.599,1728,1728
Lee Hwa-Kyung,Lee,lee-hwa-kyung,lee-hwa-kyung,58.977,snack foods,Food and Beverage,F,South Korea,1488028203332,1065.887,1787,1787
Lee Jay-Hyun,Lee,lee-jay-hyun,lee-jay-hyun,18.423,"food products, entertainment",Diversified,M,South Korea,1488028203331,2120.372,984,984
Lee Joong-Keun,Lee,lee-joong-keun,lee-joong-keun,0,"construction, real estate",Construction & Engineering,M,South Korea,1488028203331,2335.302,905,905
Lee Man Tat,Lee,lee-man-tat,lee-man-tat,0,food,Food and Beverage,M,Hong Kong,1488028203331,2494.177,844,844
Lee Seo-Hyun,Lee,lee-seo-hyun,lee-seo-hyun,15.83,"computer services, tourism",Diversified,F,South Korea,1488028203332,1515.446,1372,1372
Leena Tewari,Tewari,leena-tewari,leena-tewari,0,pharmaceuticals,Healthcare,F,India,1488028203331,2048.915,1021,1021
Lei Jufang,Lei,lei-jufang,lei-jufang,-24.998,pharmaceuticals,Healthcare,F,China,1488028203331,2547.098,808,808
Lei Jun,Lei,lei-jun,lei-jun,-9.912,smartphones,Technology,M,China,1488028203331,6744.749,215,215
Len Ainsworth,Ainsworth,len-ainsworth,len-ainsworth,-3.903,betting machines,Gambling & Casinos,M,Australia,1488028203332,1068.989,1783,1783
Leonard Schleifer,Schleifer,leonard-schleifer,leonard-schleifer,-24.957,pharmaceuticals,Healthcare,M,United States,1488028203332,1300.899,1563,1563
Leonid Boguslavsky,Boguslavsky,leonid-boguslavsky,leonid-boguslavsky,0,venture capital,Finance and Investments,M,Russia,1488028203332,1064,1790,1790
Leonid Simanovsky,Simanovsky,leonid-simanovsky,leonid-simanovsky,3.461,investments,Finance and Investments,M,Russia,1488028203332,1276.651,1589,1589
Leslie Alexander,Alexander,leslie-alexander,leslie-alexander,0,Houston Rockets,Sports,M,United States,1488028203332,1902,1119,1119
Li Denghai,Li,li-denghai,li-denghai,17.775,seed production,Food and Beverage,M,China,1488028203332,1237.161,1628,1628
Li Fuchao,Li,li-fuchao,no-pic,7.456,auto parts,Automotive,M,China,1488028203332,1007.883,1844,1844
Li Fucheng,Li,li-fucheng,no-pic,4.151,agribusiness,Food and Beverage,M,China,1488028203332,1153.907,1699,1699
Li Hejun,Li,li-hejun,li-hejun,0,renewable energy,Energy,M,China,1488028203332,1927.341,1103,1103
Li Li & family,Li,li-li-2,li-li-2,2.93,pharmaceuticals,Healthcare,M,China,1488028203332,1607.361,1295,1295
Li Liufa & family,Li,li-liufa,li-liufa,-6.937,"steel, diversified",Diversified,M,China,1488028203332,1136.83,1723,1723
Li Shufu,Li,li-shufu,li-shufu,-206.601,automobiles,Automotive,M,China,1488028203331,6741.4,216,216
Li Shuirong,Li,li-shuirong,li-shuirong,-31.036,petrochemicals,Manufacturing,M,China,1488028203331,3398.753,574,574
Li Tan,Li,li-tan,no-pic-female,2.38,pharmaceuticals,Healthcare,F,China,1488028203332,1269.088,1598,1598
Li Wa,Li,li-wa,li-wa,0,real estate,Real Estate,M,Hong Kong,1488028203331,2353.506,900,900
Li Weiwei,Li,li-weiwei,no-pic,83.931,online games,Technology,M,China,1488028203332,1401.124,1461,1461
Li Yihai,Li,li-yihai,no-pic,0,pharmaceuticals,Healthcare,M,China,1488028203332,1023.643,1834,1834
Li Yong,Li,li-yong-1,no-pic,2.784,chemicals,Manufacturing,M,China,1488028203332,1090.02,1769,1769
Li Zhongchu,Li,li-zhongchu,no-pic,0,software,Technology,M,China,1488028203331,2020.498,1037,1037
Lia Maria Aguiar,Aguiar,lia-maria-aguiar,no-pic-female,-7.793,banking,Finance and Investments,F,Brazil,1488028203332,1137.102,1722,1722
Liang Guangwei,Liang,liang-guangwei,no-pic,2.523,conglomerate,Manufacturing,M,China,1488028203332,1313.192,1555,1555
Liang Xinjun,Liang,liang-xinjun,liang-xinjun,-13.38,conglomerate,Diversified,M,China,1488028203331,2384.695,885,885
Liang Yunchao,Liang,liang-yunchao,liang-yunchao,10.263,nutrition supplements,Food and Beverage,M,China,1488028203332,1383.182,1485,1485
Liang Zhaoxian,Liang,liang-zhaoxian,liang-zhaoxian,0,appliances,Manufacturing,M,China,1488028203332,1516.707,1370,1370
Liao Long-Shing,Liao,liao-long-shing,liao-long-shing,0,petrochemicals,Manufacturing,M,Taiwan,1488028203331,1989.082,1058,1058
Lim Oon Kuin,Lim,lim-oon-kuin,no-pic,0,oil trading,Energy,M,Singapore,1488028203332,1751.107,1217,1217
Lim Sung-Ki,Lim,lim-sung-ki,lim-sung-ki,66.845,pharmaceuticals,Healthcare,M,South Korea,1488028203332,1932.446,1098,1098
Lin Jianhua & family,Lin,lin-jianhua,lin-jianhua,20.022,solar panel components,Manufacturing,M,China,1488028203332,1815.1,1173,1173
Lin Li,Lin,lin-li,no-pic,0.71,investments,Finance and Investments,M,China,1488028203331,1937.381,1095,1095
Lin Ming-Hsiung,Lin,lin-ming-hsiung,lin-ming-hsiung,0,supermarkets,Fashion & Retail,M,Taiwan,1488028203332,1444.244,1428,1428
Lin Xiucheng & family,Lin,lin-xiucheng,lin-xiucheng,-1.964,electronics,Technology,M,China,1488028203331,3372.747,580,580
Lin Yu-lin,Lin,lin-yu-lin,lin-yu-lin,2.314,real estate,Real Estate,M,Taiwan,1488028203331,5497.997,292,292
Lina Maria Aguiar,Aguiar,lina-maria-aguiar,lina-maria-aguiar,-4.995,banking,Finance and Investments,F,Brazil,1488028203332,1285.683,1575,1575
Lirio Parisotto,Parisotto,lirio-parisotto,lirio-parisotto,0,investments,Finance and Investments,M,Brazil,1488028203332,1446.879,1424,1424
Liu Baolin,Liu,liu-baolin,liu-baolin,0,pharmacies,Fashion & Retail,M,China,1488028203332,1358.075,1503,1503
Liu Ming Chung,Liu,liu-ming-chung,liu-ming-chung,-67.351,paper manufacturing,Manufacturing,M,Brazil,1488028203332,1520.758,1365,1365
Liu Ming Hui,Liu,liu-ming-hui,liu-ming-hui,-10.288,natural gas distribution,Energy,M,China,1488028203332,1101.822,1752,1752
Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,-85.748,e-commerce,Technology,M,China,1488028203331,7766.094,177,177
Liu Shaoxi,Liu,liu-shaoxi,liu-shaoxi,-1.786,real estate,Real Estate,M,China,1488028203332,1098.339,1764,1764
Liu Xiaodong,Liu,liu-xiaodong,no-pic,24.569,flavorings,Manufacturing,M,China,1488028203332,1301.121,1562,1562
Liu Xuejing & family,Liu,liu-xuejing,liu-xuejing,0,"copper, poultry",Diversified,M,China,1488028203332,1363.597,1495,1495
Liu Zhenguo,Liu,liu-zhenguo,no-pic,3.547,sewage treatment,Service,M,China,1488028203332,1085.689,1770,1770
Liu Zhongtian & family,Liu,liu-zhongtian,liu-zhongtian,-43.705,aluminum products,Manufacturing,M,China,1488028203331,3124.61,640,640
Lo Siu-tong,Lo,lo-siu-tong,lo-siu-tong,0,"real estate, hotels",Real Estate,M,Hong Kong,1488028203332,1211.601,1649,1649
Lo Siu Yu & family,Lo,lo-siu-yu,no-pic,-4.159,conglomerate,Diversified,M,Hong Kong,1488028203332,1357.717,1504,1504
Lorenzo Fertitta,Fertitta,lorenzo-fertitta,lorenzo-fertitta,-7.718,"casinos, Ultimate Fighting Championship",Sports,M,United States,1488028203331,1973.551,1062,1062
Loretta Robinson & family,Robinson,loretta-robinson,no-pic-female,-77.236,cable tv,Media & Entertainment,F,Canada,1488028203331,6856.098,208,208
Lou Zhongfu & family,Lou,lou-zhongfu,lou-zhongfu,-3.032,real estate,Real Estate,M,China,1488028203332,1386.799,1481,1481
Louis Le Duff,Le Duff,louis-le-duff,louis-le-duff,0,bakeries,Food and Beverage,M,France,1488028203331,2632.929,786,786
Lu Di,Lu,lu-di,no-pic,0,drones,Technology,M,China,1488028203332,1280,1587,1587
Lu Feng,Lu,lu-feng,lu-feng,0,financial data,Media & Entertainment,M,China,1488028203332,1003.286,1846,1846
Lu Xiangyang,Lu,lu-xiangyang,lu-xiangyang,-11.335,"automobiles, batteries",Automotive,M,China,1488028203331,2816.336,726,726
Luca Barilla,Barilla,luca-barilla,luca-barilla,0,Barilla pasta,Food and Beverage,M,Italy,1488028203332,1334.746,1529,1531
Lucio and Susan Co,Co,lucio-and-susan-co,lucio-and-susan-co,7.231,retail,Fashion & Retail,,Philippines,1488028203331,1946.106,1091,1091
Lucy Stitzer,Stitzer,lucy-stitzer,no-pic-female,0,Cargill,Food and Beverage,F,United States,1488028203332,1872.849,1131,1133
Ludwig Merckle,Merckle,ludwig-merckle,ludwig-merckle,-19.167,pharmaceuticals,Finance and Investments,M,Germany,1488028203331,5750.156,267,267
Ludwig Theodor Braun,Braun,ludwig-theodor-braun,no-pic,0,medical technology,Healthcare,M,Germany,1488028203332,1111.852,1747,1747
Lui Che Woo,Lui,lui-che-woo,lui-che-woo,46.206,casinos,Gambling & Casinos,M,Hong Kong,1488028203331,12202.741,104,104
Luigi Cremonini & family,Cremonini,luigi-cremonini,luigi-cremonini,-9.589,meat processing,Food and Beverage,M,Italy,1488028203332,1342.935,1517,1517
Luigi Rovati & family,Rovati,luigi-rovati,no-pic,-0.433,pharmaceuticals,Healthcare,M,Italy,1488028203331,1970.966,1063,1063
Luis Enrique Yarur Rey,Yarur Rey,luis-enrique-yarur-rey,no-pic,-14.932,banking,Finance and Investments,M,Chile,1488028203332,1863.659,1137,1137
